Timestamp,Object,Confidence,Is Weapon,Location X,Location Y
05:30:04,Person,0.769,NO,946.5,447.0
05:30:04,Person,0.769,NO,1089.0,562.5
05:30:04,Person,0.767,NO,1720.5,849.0
05:30:04,Person,0.76,NO,721.12,355.5
05:30:04,Person,0.756,NO,1728.0,1002.0
05:30:04,Person,0.751,NO,594.75,566.25
05:30:04,Person,0.744,NO,108.75,171.75
05:30:04,Person,0.732,NO,226.88,99.38
05:30:04,Person,0.724,NO,1801.5,333.0
05:30:04,Person,0.719,NO,1036.5,778.5
05:30:04,Person,0.696,NO,603.0,436.5
05:30:04,Person,0.646,NO,1746.0,196.5
05:30:04,Person,0.634,NO,1872.0,450.0
05:30:04,Person,0.627,NO,1017.0,355.5
05:30:04,Person,0.614,NO,424.5,570.0
05:30:04,Person,0.609,NO,1202.25,320.62
05:30:04,Person,0.608,NO,1137.0,257.25
05:30:04,Person,0.597,NO,1401.0,100.5
05:30:04,Person,0.575,NO,752.62,252.75
05:30:04,Person,0.562,NO,367.88,550.5
05:30:04,Person,0.495,NO,1695.0,127.5
05:30:04,Person,0.464,NO,475.88,561.0
05:30:05,Person,0.831,NO,1251.0,738.0
05:30:05,Person,0.831,NO,127.69,735.75
05:30:05,Person,0.83,NO,733.88,844.5
05:30:05,Person,0.808,NO,1812.0,402.0
05:30:05,Person,0.756,NO,942.75,514.5
05:30:05,Person,0.753,NO,1629.0,358.5
05:30:05,Person,0.735,NO,1092.0,481.5
05:30:05,Person,0.727,NO,574.88,642.0
05:30:05,Person,0.706,NO,1044.0,665.25
05:30:05,Person,0.705,NO,580.88,496.5
05:30:05,Person,0.692,NO,100.22,167.25
05:30:05,Person,0.691,NO,1147.5,315.0
05:30:05,Person,0.688,NO,992.25,408.75
05:30:05,Person,0.681,NO,108.0,1050.0
05:30:05,Person,0.666,NO,1008.0,1048.5
05:30:05,Person,0.635,NO,711.38,282.75
05:30:05,Person,0.603,NO,308.62,84.0
05:30:05,Person,0.597,NO,1398.0,96.75
05:30:05,Person,0.554,NO,940.5,165.0
05:30:05,Person,0.553,NO,743.25,193.12
05:30:05,Person,0.542,NO,242.25,55.5
05:30:05,Person,0.51,NO,1194.0,264.0
05:30:05,Handbag,0.476,NO,702.0,860.25
05:30:05,Person,0.459,NO,1749.0,230.25
05:30:06,Person,0.849,NO,180.56,833.25
05:30:06,Person,0.847,NO,1275.0,607.5
05:30:06,Person,0.809,NO,1828.5,480.0
05:30:06,Person,0.804,NO,570.0,726.0
05:30:06,Person,0.797,NO,743.62,715.5
05:30:06,Person,0.77,NO,1596.0,296.62
05:30:06,Person,0.763,NO,951.0,591.0
05:30:06,Person,0.741,NO,1057.5,565.5
05:30:06,Person,0.739,NO,98.25,166.5
05:30:06,Person,0.663,NO,563.25,559.5
05:30:06,Person,0.656,NO,942.0,207.0
05:30:06,Person,0.614,NO,1174.5,364.5
05:30:06,Person,0.61,NO,393.75,73.5
05:30:06,Person,0.605,NO,1093.5,408.0
05:30:06,Person,0.605,NO,706.88,222.0
05:30:06,Person,0.576,NO,976.5,470.25
05:30:06,Person,0.566,NO,425.25,564.0
05:30:06,Person,0.542,NO,1815.0,166.12
05:30:06,Person,0.535,NO,1764.0,227.62
05:30:06,Person,0.473,NO,1185.0,213.38
05:30:07,Person,0.822,NO,234.0,957.75
05:30:07,Person,0.794,NO,1578.0,246.38
05:30:07,Person,0.792,NO,570.0,823.5
05:30:07,Person,0.781,NO,1282.5,504.0
05:30:07,Person,0.762,NO,1857.0,578.25
05:30:07,Person,0.743,NO,93.38,168.0
05:30:07,Person,0.743,NO,1848.0,189.0
05:30:07,Person,0.729,NO,31.08,684.0
05:30:07,Person,0.695,NO,964.5,684.0
05:30:07,Person,0.669,NO,1061.25,480.0
05:30:07,Person,0.662,NO,551.25,642.75
05:30:07,Person,0.653,NO,1777.5,313.88
05:30:07,Person,0.642,NO,1089.75,345.0
05:30:07,Person,0.64,NO,1797.0,192.0
05:30:07,Person,0.608,NO,1192.5,436.5
05:30:07,Person,0.583,NO,741.38,604.5
05:30:07,Person,0.56,NO,975.0,537.0
05:30:07,Person,0.536,NO,933.0,255.0
05:30:07,Person,0.535,NO,363.38,538.5
05:30:07,Person,0.521,NO,1401.0,90.75
05:30:07,Person,0.466,NO,702.75,163.5
05:30:08,Person,0.817,NO,87.8,779.25
05:30:08,Person,0.804,NO,975.0,790.5
05:30:08,Person,0.792,NO,804.0,1018.5
05:30:08,Person,0.789,NO,567.75,942.0
05:30:08,Person,0.761,NO,735.75,521.25
05:30:08,Person,0.739,NO,1272.75,419.25
05:30:08,Person,0.731,NO,1560.0,193.88
05:30:08,Person,0.729,NO,1869.0,223.12
05:30:08,Person,0.726,NO,534.75,738.75
05:30:08,Person,0.714,NO,1209.0,525.75
05:30:08,Person,0.71,NO,75.33,178.5
05:30:08,Person,0.685,NO,1825.5,220.12
05:30:08,Person,0.645,NO,1791.0,372.0
05:30:08,Person,0.64,NO,1890.0,688.5
05:30:08,Person,0.638,NO,234.38,122.25
05:30:08,Person,0.571,NO,999.75,622.5
05:30:08,Person,0.563,NO,1055.25,406.5
05:30:08,Person,0.544,NO,1094.25,286.5
05:30:08,Person,0.543,NO,927.75,311.62
05:30:08,Person,0.541,NO,362.62,537.0
05:30:08,Person,0.52,NO,1209.0,134.25
05:30:08,Person,0.512,NO,417.0,565.5
05:30:08,Person,0.507,NO,1401.0,89.25
05:30:08,Person,0.465,NO,705.38,115.5
05:30:09,Person,0.844,NO,987.75,915.0
05:30:09,Person,0.836,NO,792.0,921.0
05:30:09,Person,0.834,NO,516.75,846.0
05:30:09,Person,0.808,NO,1264.5,338.25
05:30:09,Person,0.796,NO,168.19,881.25
05:30:09,Person,0.794,NO,732.0,451.5
05:30:09,Person,0.778,NO,1525.5,147.75
05:30:09,Person,0.77,NO,932.25,373.5
05:30:09,Person,0.765,NO,1031.25,723.0
05:30:09,Person,0.725,NO,1232.25,610.5
05:30:09,Person,0.718,NO,71.3,186.75
05:30:09,Person,0.718,NO,1801.5,429.0
05:30:09,Person,0.708,NO,232.69,158.25
05:30:09,Person,0.7,NO,1093.5,232.88
